model name	: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz 
g++ (GCC) 11.2.0 
---
1, 0.08, 30924
2, 0.08, 31128
3, 0.08, 30932
4, 0.08, 30992
5, 0.08, 30972
6, 0.08, 31092
7, 0.08, 31240
8, 0.08, 31196
9, 0.08, 31272
10, 0.08, 31428
11, 0.08, 31340
12, 0.08, 31408
13, 0.08, 31576
14, 0.08, 31588
15, 0.08, 31528
16, 0.08, 31776
17, 0.08, 31780
18, 0.08, 31684
19, 0.08, 31788
20, 0.09, 31740
21, 0.09, 31796
22, 0.08, 31864
23, 0.09, 31992
24, 0.08, 31932
25, 0.08, 32032
26, 0.08, 32092
27, 0.08, 32196
28, 0.08, 32168
29, 0.08, 32160
30, 0.08, 32304
31, 0.08, 32356
32, 0.08, 32544
33, 0.09, 32384
34, 0.09, 32656
35, 0.09, 32512
36, 0.09, 32688
37, 0.09, 32588
38, 0.09, 32672
39, 0.09, 32692
40, 0.09, 32812
41, 0.09, 32944
42, 0.09, 32940
43, 0.09, 33248
44, 0.09, 33144
45, 0.09, 33164
46, 0.09, 33136
47, 0.09, 33312
48, 0.09, 33372
49, 0.09, 33444
50, 0.09, 33456
51, 0.09, 33620
52, 0.09, 33876
53, 0.09, 33744
54, 0.09, 33728
55, 0.09, 33892
56, 0.09, 33872
57, 0.09, 34036
58, 0.09, 33960
59, 0.09, 33808
60, 0.09, 34376
61, 0.09, 34416
62, 0.09, 34512
63, 0.09, 34736
64, 0.09, 34772
65, 0.09, 34984
66, 0.09, 35056
67, 0.09, 34980
68, 0.09, 35124
69, 0.09, 35216
70, 0.09, 35276
71, 0.09, 35212
72, 0.09, 35256
73, 0.09, 35400
74, 0.09, 35348
75, 0.09, 35332
76, 0.09, 35388
77, 0.09, 35500
78, 0.09, 35492
79, 0.09, 35712
80, 0.09, 35580
81, 0.09, 35652
82, 0.09, 35860
83, 0.09, 35752
84, 0.09, 35896
85, 0.09, 35908
86, 0.09, 35896
87, 0.10, 36068
88, 0.09, 35960
89, 0.10, 36048
90, 0.10, 36084
91, 0.10, 36220
92, 0.10, 36596
93, 0.10, 36236
94, 0.10, 36380
95, 0.10, 36408
96, 0.10, 36400
97, 0.10, 36448
98, 0.10, 36476
99, 0.10, 36488
100, 0.10, 36548
101, 0.10, 36648
102, 0.10, 37076
103, 0.11, 36776
104, 0.11, 36876
105, 0.11, 36820
106, 0.10, 36940
107, 0.10, 37136
108, 0.10, 36940
109, 0.10, 36988
110, 0.10, 37088
111, 0.10, 37160
112, 0.10, 37084
113, 0.10, 37804
114, 0.10, 37068
115, 0.10, 37024
116, 0.10, 37168
117, 0.10, 37380
118, 0.10, 37372
119, 0.10, 37156
120, 0.10, 37480
121, 0.10, 37388
122, 0.10, 37460
123, 0.10, 37684
124, 0.10, 37792
125, 0.10, 37796
126, 0.10, 38024
127, 0.10, 38072
128, 0.11, 38316
129, 0.10, 38140
130, 0.10, 38340
131, 0.10, 38364
132, 0.11, 38308
133, 0.10, 38612
134, 0.10, 38404
135, 0.10, 38484
136, 0.10, 38460
137, 0.10, 38520
138, 0.11, 38760
139, 0.10, 38536
140, 0.10, 38712
141, 0.11, 38676
142, 0.11, 38668
143, 0.11, 38880
144, 0.11, 39212
145, 0.11, 39256
146, 0.11, 39424
147, 0.18, 39448
148, 0.11, 39164
149, 0.11, 39248
150, 0.11, 39244
151, 0.11, 39244
152, 0.11, 39388
153, 0.11, 39432
154, 0.11, 39424
155, 0.11, 39512
156, 0.11, 39584
157, 0.11, 39616
158, 0.11, 39696
159, 0.11, 39600
160, 0.11, 39676
161, 0.11, 39788
162, 0.11, 39428
163, 0.11, 39708
164, 0.11, 39676
165, 0.11, 39996
166, 0.11, 39884
167, 0.11, 40192
168, 0.11, 40176
169, 0.11, 40232
170, 0.13, 40428
171, 0.11, 40392
172, 0.11, 40460
173, 0.12, 40468
174, 0.11, 40524
175, 0.11, 40496
176, 0.11, 40808
177, 0.11, 40672
178, 0.11, 40676
179, 0.11, 40836
180, 0.11, 40760
181, 0.11, 40724
182, 0.11, 40824
183, 0.16, 41020
184, 0.11, 40868
185, 0.11, 41004
186, 0.18, 40972
187, 0.12, 41160
188, 0.12, 41092
189, 0.12, 41180
190, 0.12, 41172
191, 0.12, 41260
192, 0.12, 41100
193, 0.12, 41148
194, 0.12, 41276
195, 0.12, 41360
196, 0.12, 41244
197, 0.12, 41428
198, 0.12, 41364
199, 0.12, 41432
200, 0.12, 41592
201, 0.12, 41652
202, 0.12, 42192
203, 0.12, 42024
204, 0.12, 41924
205, 0.12, 41956
206, 0.12, 41960
207, 0.12, 41996
208, 0.12, 41912
209, 0.12, 41856
210, 0.12, 42256
211, 0.12, 42180
212, 0.12, 42228
213, 0.12, 42200
214, 0.12, 42252
215, 0.12, 42204
216, 0.12, 42368
217, 0.12, 42532
218, 0.12, 42640
219, 0.12, 42600
220, 0.12, 42596
221, 0.12, 42928
222, 0.12, 42744
223, 0.12, 42736
224, 0.12, 42952
225, 0.12, 43108
226, 0.12, 42916
227, 0.13, 42924
228, 0.13, 43036
229, 0.12, 43084
230, 0.12, 43064
231, 0.12, 43360
232, 0.12, 43116
233, 0.13, 43348
234, 0.12, 43348
235, 0.13, 43540
236, 0.13, 43416
237, 0.13, 43488
238, 0.13, 43404
239, 0.13, 43396
240, 0.13, 43648
241, 0.13, 43520
242, 0.13, 43944
243, 0.13, 43880
244, 0.13, 44216
245, 0.13, 43864
246, 0.13, 43792
247, 0.13, 43812
248, 0.13, 44132
249, 0.13, 43956
